url,label, descriptions, scripts, entities, extra, all ,names, TP_desc, FP_desc, TN_desc,FN_desc,  TP_script, FP_script, TN_script,FN_script,  TP_ent, FP_ent, TN_ent,FN_ent , TP_extra, FP_extra, TN_extra, FN_extra 
https://www.kaggle.com/code/airback/match-outcome-prediction-in-football,Perfect_files,143,3,5,0,146,match outcome prediction in football ,143,0,4021,-3,3,0,4021,-143,5,0,4021,-141,0,0,4021,-146
https://www.kaggle.com/code/gauthampughazh/digit-recognition-using-knn,Perfect_files,66,8,0,0,69,digit recognition using knn ,66,0,4098,-3,8,0,4097,-62,0,0,4098,-69,0,0,4098,-69
https://www.kaggle.com/code/nhlr21/complete-titanic-tutorial-with-ml-nn-ensembling,Perfect_files,180,4,5,0,182,complete titanic tutorial with ml nn ensembling ,180,0,3984,-3,4,0,3984,-179,5,0,3984,-178,0,0,3984,-183
https://www.kaggle.com/code/mariazorkaltseva/hubmap-seresnext50-unet-dice-loss,Perfect_files,31,6,2,0,37,hubmap seresnext50 unet dice loss ,31,0,4131,-5,6,0,4130,-31,2,0,4131,-34,0,0,4131,-36
https://www.kaggle.com/code/bulentsiyah/heart-disease-prediction-using-neural-networks,Perfect_files,131,1,5,1,132,heart disease prediction using neural networks ,131,0,4035,-1,1,0,4035,-131,5,0,4035,-127,1,0,4034,-132
https://www.kaggle.com/code/aristotelisch/efnb7-classification-model-added-to-cellwise-infer,Perfect_files,72,10,2,0,81,efnb7 classification model added to cellwise infer ,72,0,4087,-8,10,0,4086,-71,2,0,4087,-78,0,0,4087,-80
https://www.kaggle.com/code/uysimty/keras-cnn-dog-or-cat-classification,Perfect_files,46,1,1,1,47,keras cnn dog or cat classification ,46,0,4121,0,1,0,4120,-46,1,0,4121,-45,1,0,4120,-46
https://www.kaggle.com/code/prachi1211/eda-wsi-pixels,Perfect_files,35,5,1,3,42,eda wsi pixels ,35,0,4128,-4,5,0,4127,-35,1,0,4128,-38,3,0,4125,-39
https://www.kaggle.com/code/kishor1210/train-faster-rcnn-using-keras,Perfect_files,158,10,5,0,166,train faster rcnn using keras ,157,1,3999,-10,10,0,3999,-158,5,0,3999,-163,0,0,3999,-168
https://www.kaggle.com/code/saife245/neuroimaging-in-depth-understanding-eda-model,Perfect_files,247,7,12,2,253,neuroimaging in depth understanding eda model ,246,1,3914,-6,7,0,3914,-246,12,0,3914,-241,2,0,3912,-253
https://www.kaggle.com/code/aryaprince/getting-started-with-object-detection-with-pytorch,Perfect_files,122,8,2,0,128,getting started with object detection with pytorch ,122,0,4040,-5,8,0,4039,-120,2,0,4040,-125,0,0,4040,-127
https://www.kaggle.com/code/rony1612038/pca-t-sne,No_extra_files,3,4,0,0,7,pca t sne ,3,0,4160,-4,4,0,4160,-3,0,0,4160,-7,0,0,4160,-7
https://www.kaggle.com/code/adityaecdrid/private-ventilator-pressure-lstm-transformer,Perfect_files,56,21,7,1,75,private ventilator pressure lstm transformer ,56,0,4094,-17,21,0,4091,-55,7,0,4094,-66,1,0,4093,-73
https://www.kaggle.com/code/francoisdubois/build-an-embedding-based-on-fasttext,Perfect_files,40,7,2,0,47,build an embedding based on fasttext ,40,0,4121,-6,7,0,4120,-40,2,0,4121,-44,0,0,4121,-46
https://www.kaggle.com/code/vasanthraja/python-tutorial,Perfect_files,207,14,6,1,216,python tutorial ,207,0,3951,-9,14,0,3950,-203,6,0,3951,-210,1,0,3950,-216
https://www.kaggle.com/code/keremkosif/car-detection-fasterrcnn-detectron2,Perfect_files,83,7,2,0,85,car detection fasterrcnn detectron2 ,83,0,4080,-4,7,0,4080,-80,2,0,4080,-85,0,0,4080,-87
https://www.kaggle.com/code/kmader/quickdraw-with-wavenet-classifier,Perfect_files,57,5,2,1,63,quickdraw with wavenet classifier ,57,0,4107,-3,5,0,4105,-57,2,0,4107,-58,1,0,4106,-60
https://www.kaggle.com/code/prashant111/xgboost-k-fold-cv-feature-importance,Perfect_files,206,2,11,0,207,xgboost k fold cv feature importance ,206,0,3960,-1,2,0,3959,-206,11,0,3960,-196,0,0,3960,-207
https://www.kaggle.com/code/rajwardhanshinde/eda-data-visualization,Perfect_files,26,3,2,0,29,eda data visualization ,26,0,4138,-3,3,0,4138,-26,2,0,4138,-27,0,0,4138,-29
https://www.kaggle.com/code/shivamb/data-science-trends-on-kaggle,No_extra_files,79,4,4,0,82,data science trends on kaggle ,79,0,4086,-2,4,0,4085,-78,4,0,4086,-77,0,0,4086,-81
https://www.kaggle.com/code/littlesanner/build-one-model-of-risk-factors-on-covid-19,Perfect_files,296,19,17,2,310,build one model of risk factors on covid 19 ,296,0,3858,-13,19,0,3853,-295,17,0,3858,-292,2,0,3856,-309
https://www.kaggle.com/code/hrmello/histology-with-cnn,Perfect_files,131,7,4,0,135,histology with cnn ,131,0,4030,-6,7,0,4030,-130,4,0,4030,-133,0,0,4030,-137
https://www.kaggle.com/code/jurk06/time-series-the-various-steps,Perfect_files,90,2,2,1,93,time series the various steps ,90,0,4076,-1,1,1,4075,-90,2,0,4076,-89,1,0,4075,-91
https://www.kaggle.com/code/ozericyer/heart-desease-ml-classificationexercises,Perfect_files,175,5,14,0,178,heart desease ml classificationexercises ,175,0,3987,-5,5,0,3987,-175,14,0,3987,-166,0,0,3987,-180
https://www.kaggle.com/code/shivamb/semi-supervised-classification-using-autoencoders,Perfect_files,96,5,3,1,102,semi supervised classification using autoencoders ,96,0,4066,-5,5,0,4066,-96,3,0,4066,-98,1,0,4065,-101
https://www.kaggle.com/code/androbomb/image-pre-treatment,No_extra_files,219,10,7,0,224,image pre treatment ,219,0,3942,-6,10,0,3942,-215,7,0,3942,-218,0,0,3942,-225
https://www.kaggle.com/code/tminima/genedered-pronoun-resolution-eda,Perfect_files,90,3,1,0,93,genedered pronoun resolution eda ,90,0,4075,-2,3,0,4074,-90,1,0,4075,-91,0,0,4075,-92
https://www.kaggle.com/code/marcosnovaes/hubmap-read-data-and-build-tfrecords,Perfect_files,148,4,4,0,151,hubmap read data and build tfrecords ,148,0,4015,-4,4,0,4015,-148,4,0,4015,-148,0,0,4015,-152
https://www.kaggle.com/code/kelvar/cifar-10-images-classification-using-cnn,Perfect_files,63,3,2,1,67,cifar 10 images classification using cnn ,63,0,4101,-3,3,0,4101,-63,2,0,4101,-64,1,0,4100,-66
https://www.kaggle.com/code/dimitreoliveira/cassava-leaf-disease-training-with-tpu-v2-pods,Perfect_files,120,7,7,0,127,cassava leaf disease training with tpu v2 pods ,119,1,4041,-6,7,0,4040,-120,7,0,4041,-119,0,0,4041,-126
